character,archetype,gender,degree,weighted_degree,closeness,flow_betweenness,clustering_coefficient
Orazio,INNAMORATI,MALE,29,676,0.558,0.023,0.09
Capitano,CAPITANI,MALE,28,521,0.569,0.13,0.082
Pedrolino,SERVI,MALE,29,896,0.537,0.021,0.106
Isabella,INNAMORATI,FEMALE,29,680,0.569,0.059,0.09
Arlecchino,SERVI,MALE,29,558,0.58,0.083,0.079
Graziano,VECCHI,MALE,29,539,0.537,0.07,0.079
Flaminia,INNAMORATI,FEMALE,30,633,0.58,0.04,0.081
Pantalone,VECCHI,MALE,28,675,0.558,0.035,0.085
Olivetta,SERVI,FEMALE,12,24,0.468,0.008,0.046
Franceschina,SERVI,FEMALE,24,500,0.5,0.027,0.108
Flavio,INNAMORATI,MALE,27,597,0.527,0.029,0.097
Pasquella,SERVI,FEMALE,14,39,0.509,0.011,0.046
Tofano,VECCHI,MALE,12,12,0.617,0.043,0.027
Hibrahim,VECCHI,MALE,12,12,0.617,0.043,0.027
Laura,VECCHI,FEMALE,10,32,0.392,0.002,0.069
Burattino,SERVI,MALE,19,302,0.453,0.022,0.107
Cinzio,INNAMORATI,MALE,14,98,0.387,0.005,0.089
Claudione,VECCHI,MALE,13,39,0.42,0.005,0.055
Ricciolina,SERVI,FEMALE,13,35,0.403,0.007,0.053
Cataldo,VECCHI,MALE,10,10,0.569,0.056,0.029
Fabrizio,INNAMORATI,MALE,13,37,0.468,0.003,0.051
Cavicchio,SERVI,MALE,4,4,0.42,0.002,0.034
Cassandro,VECCHI,MALE,9,9,0.558,0.024,0.034
Vittoria,CAPITANI,FEMALE,9,9,0.527,0.013,0.029
Piombino,SERVI,MALE,9,9,0.527,0.013,0.029
Silvia,INNAMORATI,FEMALE,9,9,0.558,0.023,0.035
Grillo,SERVI,MALE,11,11,0.604,0.054,0.033
Lidia,INNAMORATI,FEMALE,9,9,0.537,0.068,0.031
Innkeeper,SERVI,MALE,2,2,0.414,0.001,0.036
Flavia,INNAMORATI,FEMALE,10,10,0.58,0.042,0.03
